N,epsilon_pct,epsilon_label,baseline_pool_size_mean,baseline_pool_size_std,full_column_pool_size_mean,full_column_pool_size_std,enriched_pool_size_mean,enriched_pool_size_std,columns_added_mean,columns_added_std,Z_baseline_IRMP_mean,Z_baseline_IRMP_std,Z_enriched_IRMP_mean,Z_enriched_IRMP_std,improvement_pct_mean,improvement_pct_std,baseline_internal_gap_mean,baseline_internal_gap_std,enriched_internal_gap_mean,enriched_internal_gap_std,n_vessels_changed_mean,n_vessels_changed_std,gap_baseline_vs_MILP_mean,gap_baseline_vs_MILP_std,gap_enriched_vs_MILP_mean,gap_enriched_vs_MILP_std,solutions_identical_rate,n_seeds_with_improvement,improvement_pct_max,all_baseline_full_pool,all_used_full_pool_small,columns_added_SP_mean,columns_added_BS_mean,columns_added_AE_mean
20,0.5,0.5%,6580.1,688.5004647783471,6580.1,688.5004647783471,6580.1,688.5004647783471,0.0,0.0,24666.40968305115,1738.6474145636107,24666.40968305115,1738.6474145636107,0.0,0.0,0.08119860274262798,0.08313697849474758,0.08119860274262798,0.08313697849474758,0.0,0.0,3.1924334571632422e-15,6.395388477477119e-15,3.1924334571632422e-15,6.395388477477119e-15,1.0,0,0.0,True,True,0.0,0.0,0.0
20,1.0,1.0%,6580.1,688.5004647783471,6580.1,688.5004647783471,6580.1,688.5004647783471,0.0,0.0,24666.40968305115,1738.6474145636107,24666.40968305115,1738.6474145636107,0.0,0.0,0.08119860274262798,0.08313697849474758,0.08119860274262798,0.08313697849474758,0.0,0.0,3.1924334571632422e-15,6.395388477477119e-15,3.1924334571632422e-15,6.395388477477119e-15,1.0,0,0.0,True,True,0.0,0.0,0.0
20,2.0,2.0%,6580.1,688.5004647783471,6580.1,688.5004647783471,6580.1,688.5004647783471,0.0,0.0,24666.40968305115,1738.6474145636107,24666.40968305115,1738.6474145636107,0.0,0.0,0.08119860274262798,0.08313697849474758,0.08119860274262798,0.08313697849474758,0.0,0.0,3.1924334571632422e-15,6.395388477477119e-15,3.1924334571632422e-15,6.395388477477119e-15,1.0,0,0.0,True,True,0.0,0.0,0.0
50,0.5,0.5%,17930.2,1239.6044369071933,17930.2,1239.6044369071933,17930.2,1239.6044369071933,0.0,0.0,82695.01146921565,2369.3294597450436,82695.01146921565,2369.3294597450436,0.0,0.0,0.008374181834230351,0.008860875690188142,0.008374181834230351,0.008860875690188142,0.0,0.0,4.683033373272131e-10,1.4049100119816395e-09,4.683033373272131e-10,1.4049100119816395e-09,1.0,0,0.0,True,True,0.0,0.0,0.0
50,1.0,1.0%,17930.2,1239.6044369071933,17930.2,1239.6044369071933,17930.2,1239.6044369071933,0.0,0.0,82695.01146921565,2369.3294597450436,82695.01146921565,2369.3294597450436,0.0,0.0,0.008374181834230351,0.008860875690188142,0.008374181834230351,0.008860875690188142,0.0,0.0,4.683033373272131e-10,1.4049100119816395e-09,4.683033373272131e-10,1.4049100119816395e-09,1.0,0,0.0,True,True,0.0,0.0,0.0
50,2.0,2.0%,17930.2,1239.6044369071933,17930.2,1239.6044369071933,17930.2,1239.6044369071933,0.0,0.0,82695.01146921565,2369.3294597450436,82695.01146921565,2369.3294597450436,0.0,0.0,0.008374181834230351,0.008860875690188142,0.008374181834230351,0.008860875690188142,0.0,0.0,4.683033373272131e-10,1.4049100119816395e-09,4.683033373272131e-10,1.4049100119816395e-09,1.0,0,0.0,True,True,0.0,0.0,0.0
100,0.5,0.5%,37389.7,2000.3627695995544,37389.7,2000.3627695995544,37389.7,2000.3627695995544,0.0,0.0,183338.22621597565,4235.484072274017,183338.22621597565,4235.484072274017,0.0,0.0,0.002061821713624687,0.002874433261867854,0.002061821713624687,0.002874433261867854,0.0,0.0,,,,,1.0,0,0.0,True,True,0.0,0.0,0.0
100,1.0,1.0%,37389.7,2000.3627695995544,37389.7,2000.3627695995544,37389.7,2000.3627695995544,0.0,0.0,183338.22621597565,4235.484072274017,183338.22621597565,4235.484072274017,0.0,0.0,0.002061821713624687,0.002874433261867854,0.002061821713624687,0.002874433261867854,0.0,0.0,,,,,1.0,0,0.0,True,True,0.0,0.0,0.0
100,2.0,2.0%,37389.7,2000.3627695995544,37389.7,2000.3627695995544,37389.7,2000.3627695995544,0.0,0.0,183338.22621597565,4235.484072274017,183338.22621597565,4235.484072274017,0.0,0.0,0.002061821713624687,0.002874433261867854,0.002061821713624687,0.002874433261867854,0.0,0.0,,,,,1.0,0,0.0,True,True,0.0,0.0,0.0
