N,pricing_mode,epsilon_pct,epsilon_label,baseline_pool_size_mean,baseline_pool_size_std,full_column_pool_size_mean,full_column_pool_size_std,enriched_pool_size_mean,enriched_pool_size_std,columns_added_mean,columns_added_std,Z_baseline_IRMP_mean,Z_baseline_IRMP_std,Z_enriched_IRMP_mean,Z_enriched_IRMP_std,improvement_pct_mean,improvement_pct_std,n_plans_changed_mean,n_plans_changed_std,n_mode_switches_mean,n_mode_switches_std,columns_used_from_enrichment_mean,columns_used_from_enrichment_std,enrichment_usage_ratio_mean,enrichment_usage_ratio_std,identical_rate,alternative_optima_rate,improved_rate
100,top-K diag,0.5,0.5%,9422.5,447.73278861392316,37389.7,2000.3627695995544,9915.4,437.56169850662206,492.9,162.16809180600234,183337.83564803304,4234.791508192314,183337.835648033,4234.791508192315,1.5884321252826525e-15,4.765296375847958e-15,81.3,6.067124524847005,0.4,0.8000000000000002,4.8,1.7204650534085253,0.0103858520630072,0.00383040653538488,0.0,1.0,0.0
100,top-K diag,1.0,1.0%,9422.5,447.73278861392316,37389.7,2000.3627695995544,9915.4,437.56169850662206,492.9,162.16809180600234,183337.83564803304,4234.791508192314,183337.835648033,4234.791508192315,1.5884321252826525e-15,4.765296375847958e-15,81.3,6.067124524847005,0.4,0.8000000000000002,4.8,1.7204650534085253,0.0103858520630072,0.00383040653538488,0.0,1.0,0.0
100,top-K diag,2.0,2.0%,9422.5,447.73278861392316,37389.7,2000.3627695995544,9915.4,437.56169850662206,492.9,162.16809180600234,183337.83564803304,4234.791508192314,183337.835648033,4234.791508192315,1.5884321252826525e-15,4.765296375847958e-15,81.3,6.067124524847005,0.4,0.8000000000000002,4.8,1.7204650534085253,0.0103858520630072,0.00383040653538488,0.0,1.0,0.0
200,top-K,0.5,0.5%,17033.3,657.7428144799455,75663.9,3223.9955474535013,17895.6,916.9194293938808,862.3,411.509671818294,535891.9682508595,7703.350077757814,535891.9682508595,7703.350077757816,2.1770314311524393e-15,6.531094293457317e-15,82.5,4.801041553663121,5.8,2.4,4.2,1.7776388834631176,0.005256331308825888,0.003300765033744403,0.0,1.0,0.0
200,top-K,1.0,1.0%,17033.3,657.7428144799455,75663.9,3223.9955474535013,17895.6,916.9194293938808,862.3,411.509671818294,535891.9682508595,7703.350077757814,535891.9682508595,7703.350077757816,2.1770314311524393e-15,6.531094293457317e-15,82.5,4.801041553663121,5.8,2.4,4.2,1.7776388834631176,0.005256331308825888,0.003300765033744403,0.0,1.0,0.0
200,top-K,2.0,2.0%,17033.3,657.7428144799455,75663.9,3223.9955474535013,17895.6,916.9194293938808,862.3,411.509671818294,535891.9682508595,7703.350077757814,535891.9682508595,7703.350077757816,2.1770314311524393e-15,6.531094293457317e-15,82.5,4.801041553663121,5.8,2.4,4.2,1.7776388834631176,0.005256331308825888,0.003300765033744403,0.0,1.0,0.0
500,top-K,0.5,0.5%,39933.1,788.8313444583703,192711.4,5681.541026869382,42016.6,2185.3902260237187,2083.5,1644.5233503967038,1690831.876915054,13429.766685525865,1690831.876915054,13429.766685525865,0.0,0.0,79.4,7.116178749862878,0.2,0.6000000000000001,3.0,1.8973665961010275,0.0028640834587016772,0.0025066082773000384,0.0,1.0,0.0
500,top-K,1.0,1.0%,39933.1,788.8313444583703,192711.4,5681.541026869382,42016.6,2185.3902260237187,2083.5,1644.5233503967038,1690831.876915054,13429.766685525865,1690831.876915054,13429.766685525865,0.0,0.0,79.4,7.116178749862878,0.2,0.6000000000000001,3.0,1.8973665961010275,0.0028640834587016772,0.0025066082773000384,0.0,1.0,0.0
500,top-K,2.0,2.0%,39933.1,788.8313444583703,192711.4,5681.541026869382,42016.6,2185.3902260237187,2083.5,1644.5233503967038,1690831.876915054,13429.766685525865,1690831.876915054,13429.766685525865,0.0,0.0,79.4,7.116178749862878,0.2,0.6000000000000001,3.0,1.8973665961010275,0.0028640834587016772,0.0025066082773000384,0.0,1.0,0.0
