C_BS,method,total_cost_mean,total_cost_std,SP_share_mean,BS_share_mean,AE_share_mean,delay_cost_mean,avg_delay_h_mean,emissions_total_mean,runtime_mean
0.3,CG+IR,125287.85999625425,2928.206395316514,0.149,0.851,0.0,20.0,,0.0,17.104686400000354
0.3,Fix-and-Optimize,156937.33686564805,5821.672740073764,0.136,0.762,0.10200000000000001,5175.0,,0.10200000000000001,14.335728799999197
0.3,Rolling-Horizon,156947.57004283316,9661.167689731054,0.125,0.769,0.10600000000000001,4540.0,,0.10600000000000001,19.805974649999918
0.4,CG+IR,163989.5404588988,3951.406770216141,0.149,0.851,0.0,40.0,,0.0,17.688935250000213
0.4,Fix-and-Optimize,191852.43289337042,5221.0623695012,0.139,0.755,0.10600000000000001,4635.0,,0.10600000000000001,14.293155640000986
0.4,Rolling-Horizon,196079.066108292,9353.084442194406,0.126,0.75,0.124,4592.5,,0.124,20.66644529000041
0.45,CG+IR,183337.835648033,4463.862193942436,0.149,0.851,0.0,40.0,,0.0,17.334942669999872
0.45,Fix-and-Optimize,209279.47124082356,5914.129535956736,0.139,0.753,0.10800000000000001,4187.5,,0.10800000000000001,14.329358540000248
0.45,Rolling-Horizon,210035.27966568232,7662.484167558771,0.125,0.762,0.11300000000000002,3980.0,,0.11300000000000002,20.366600420000395
0.6,CG+IR,241374.57643918827,6004.219092791224,0.149,0.851,0.0,60.0,,0.0,17.264948890000596
0.6,Fix-and-Optimize,259775.9556101573,7083.335683696099,0.14,0.746,0.11399999999999999,3275.0,,0.11399999999999999,14.246027769999637
0.6,Rolling-Horizon,264058.86851048487,7787.230704539721,0.128,0.744,0.128,4662.5,,0.128,20.519894909999493
0.8,CG+IR,318703.7534346724,8057.919470747298,0.147,0.849,0.004,20.0,,0.004,17.572318660000384
0.8,Fix-and-Optimize,328595.6979271624,9150.990343502799,0.144,0.733,0.123,5157.5,,0.123,13.011635899999964
0.8,Rolling-Horizon,331681.179030077,8925.812689270755,0.134,0.732,0.134,5920.0,,0.134,19.9580571100003
1.0,CG+IR,357065.4118122866,8957.132072554357,0.124,0.0,0.876,0.0,,0.876,14.734972830000334
1.0,Fix-and-Optimize,363353.7982385138,9475.033397068373,0.14300000000000002,0.0,0.857,6490.0,,0.857,14.054302080000344
1.0,Rolling-Horizon,365699.96343555144,10101.565571682042,0.139,0.0,0.861,8677.5,,0.861,18.705275380000238
1.2,CG+IR,357065.4118122866,8957.132072554357,0.124,0.0,0.876,0.0,,0.876,14.760739129999639
1.2,Fix-and-Optimize,363353.7982385138,9475.033397068373,0.14300000000000002,0.0,0.857,6490.0,,0.857,14.027997780000078
1.2,Rolling-Horizon,365739.19963499287,9524.626097252487,0.138,0.0,0.8619999999999999,8417.5,,0.8619999999999999,18.755824759999815
