N,scenario,method,objective_mean,objective_std,rel_gap_to_CG_mean,runtime_mean,runtime_std,status_success_rate,cg_status,gap_type,pricing_converged_rate,objective_stabilized_rate,pool_gap_pct_mean,columns_mean,iterations_mean,relative_improvement_last_5_mean
200,L,CG+IR,511397.24043260387,8089.08816437655,0.0,43.63274046000006,5.752677594430649,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,0.004345124206127958,14025.4,21.0,1.7140103300489075e-05
200,L,FIFO,569774.9064185482,12259.389937450473,11.41025007871493,0.0971756800008734,0.001709339848953835,1.0,,,,,,,,
200,L,Fix-and-Optimize,558193.4438706946,10374.341146367131,9.149769890306446,21.245544059999883,0.9205501791079179,1.0,,,,,,,,
200,L,Greedy,569729.0443380333,11640.380471579605,11.402403663275546,0.16692753000024824,0.00283180160448207,1.0,,,,,,,,
200,L,Restricted-CG,569565.8796999818,11592.865197725965,11.370299775402222,3.221488390000013,0.4116623125605257,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,6.0811454328320515e-15,1943.1,6.2,0.00028450287006649016
200,L,Rolling-Horizon,571080.1409044554,9351.528281151075,11.671850229392465,32.218005449999694,2.320813080494717,1.0,,,,,,,,
200,P,CG+IR,542832.3035658005,9972.522379543065,0.0,36.758505580000204,3.8267444171900267,1.0,budgeted_stabilized,Pool LP-IP gap,0.0,1.0,0.003660162680875492,10929.6,20.0,4.465839442800313e-08
200,P,FIFO,606209.5954452279,14279.523090235509,11.670015913578009,0.10722966000030283,0.06047933858945266,1.0,,,,,,,,
200,P,Fix-and-Optimize,597021.6007716209,14673.35737218649,9.975610045762355,26.442822720000187,2.2645606183198286,1.0,,,,,,,,
200,P,Greedy,605071.5514816132,15242.157714085293,11.458701743161742,0.20028177999956825,0.11436732498387628,1.0,,,,,,,,
200,P,Restricted-CG,604726.1110043358,14923.656409045896,11.395907548622187,3.3419497600003525,0.7312234703085218,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,5.932755472300103e-15,1957.4,6.2,0.0005351354780641144
200,P,Rolling-Horizon,608630.128556404,15555.084013127786,12.113521526706975,36.95395177999999,2.1009680797000017,1.0,,,,,,,,
200,U,CG+IR,535891.9682508595,8120.043953116632,0.0,33.6078829799997,1.0062743008650277,1.0,budgeted_stabilized,Pool LP-IP gap,0.0,1.0,0.0011618754123199708,11556.2,20.1,2.6876622985030257e-06
200,U,FIFO,596409.3582190222,10779.776783408392,11.291866137622298,0.08361127999996824,0.0015374767110329641,1.0,,,,,,,,
200,U,Fix-and-Optimize,586061.1745951982,10314.76425946531,9.36309636756272,25.635606810000173,1.8212648433142449,1.0,,,,,,,,
200,U,Greedy,598402.6582126331,10424.765951659292,11.664892747785707,0.16426267999922856,0.0017692184687151382,1.0,,,,,,,,
200,U,Restricted-CG,597018.3047469159,10883.541186629505,11.40448785697816,3.2848471600002087,0.48972569055731785,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.8,0.004180054402965873,2025.8,6.4,0.0010417090300987636
200,U,Rolling-Horizon,596178.676120664,10632.321146361068,11.24926956910095,38.15482000000011,2.1327414593032343,1.0,,,,,,,,
