slack,perturbation_type,Delta,obj_mean,obj_std,stay_mean,stay_std,n_seeds,rel_cost_increase_pct,rel_cost_increase_pct_std
loose,one_sided_delay,0.0,184401.46712014254,6723.569017137881,15.837753441190607,0.15037079992393476,2,0.0,3.6461580930683666
loose,one_sided_delay,1.0,184873.52434579286,6662.569265592843,15.48978661342574,0.13585135401448856,2,0.25599428953716724,3.613078230691082
loose,one_sided_delay,2.0,185382.33097110802,6977.373573325924,15.345222254278683,0.08145343561694496,2,0.5319175960386614,3.7837950436587233
loose,symmetric,0.0,184474.69271973573,6630.588219165089,15.644084026708306,0.03423403718154727,2,0.0,3.5943077727407573
loose,symmetric,1.0,185044.18345613175,6082.5242827193,15.523601022497774,0.1463215386001142,2,0.30870941048874656,3.297213397156981
loose,symmetric,2.0,184646.75723037747,5810.632082347729,15.536380729151588,0.06728918499128778,2,0.09327269128624922,3.149826134241387
tight,one_sided_delay,0.0,197098.91868444503,8189.682460775759,14.384099549763988,0.052575040482583546,2,0.0,4.1551128313836285
tight,one_sided_delay,1.0,202655.48603090632,7753.895878031035,14.165668723288707,0.08222041911713607,2,2.81917698156292,3.93401238818819
tight,one_sided_delay,2.0,233282.613365693,7349.708260790911,14.117058067224217,0.03936463908835197,2,18.35813961982104,3.728943978915368
tight,symmetric,0.0,197057.54742710898,8399.074660102997,14.353855867813508,0.01732469865453723,2,0.0,4.262244592894769
tight,symmetric,1.0,200381.02400877964,8136.689908549393,14.307658172678618,0.06614461646388214,2,1.6865512765503228,4.129093259703302
tight,symmetric,2.0,213808.59066973673,4686.745551716755,14.351597183568947,0.007148269104311211,2,8.500584454307145,2.3783638906042754
