scenario,method,obj_mean,obj_std,runtime_mean,gap_pct_mean,success_rate,cg_status,gap_type
L,CG+IR,182306.02969404333,8636.721914201984,18.70239864999894,0.0021527401795946,1.0,full_pricing_converged,Full-CG LP-IP gap
L,FIFO,204804.0800948394,11776.621907664752,0.03542830000060345,,1.0,,
L,Greedy,205175.74996837514,11124.528437731971,0.0846304500000769,,1.0,,
L,fix_and_optimize,193229.83733858663,10637.762212485146,13.558470800000578,,1.0,,
L,rolling_horizon,199564.86945602254,2897.3650784667775,17.786622599999646,,1.0,,
P,CG+IR,188483.2587138301,2225.4112615130307,20.796320150000156,0.0019760995497654,1.0,full_pricing_converged,Full-CG LP-IP gap
P,FIFO,234220.18191975178,4557.521458787471,0.035610399999768505,,1.0,,
P,Greedy,234036.35365064617,2187.2174094064226,0.0842129500006194,,1.0,,
P,fix_and_optimize,221055.88366214867,894.1174039297189,14.879812300000594,,1.0,,
P,rolling_horizon,226373.19067376788,9971.848947202825,21.692658000000392,,1.0,,
U,CG+IR,184592.69814547242,8843.394093220038,19.284437199999957,0.0049443547911076,1.0,full_pricing_converged,Full-CG LP-IP gap
U,FIFO,225685.36365762568,9708.088249840965,0.0666899500001818,,1.0,,
U,Greedy,227163.69766069646,9897.192388422982,0.16767554999978523,,1.0,,
U,fix_and_optimize,211890.02239198802,10617.280770108371,16.699349050000368,,1.0,,
U,rolling_horizon,210813.0330372663,11177.961339556372,21.671182300000055,,1.0,,
